SampleID,SS,date,LandUse,Number,Position,Month,Area
R2S-27-05-2021,R2S,27/05/2021,R,2,S,5,R2
R2S-28-07-2021,R2S,28/07/2021,R,2,S,7,R2
U1C-06-08-2021,U1C,6/8/21,U,1,C,8,U1
U1C-08-07-2021,U1C,8/7/21,U,1,C,7,U1
U1C-10-06-2021,U1C,10/6/21,U,1,C,6,U1
U1C-13-05-2021,U1C,13/05/2021,U,1,C,5,U1
U1C-19-08-2021,U1C,19/08/2021,U,1,C,8,U1
U1C-24-06-2021,U1C,24/06/2021,U,1,C,6,U1
U1C-27-05-2021,U1C,27/05/2021,U,1,C,5,U1
U1C-28-07-2021,U1C,28/07/2021,U,1,C,7,U1
U1N-06-08-2021,U1N,6/8/21,U,1,N,8,U1
U1N-08-07-2021,U1N,8/7/21,U,1,N,7,U1
U1N-10-06-2021,U1N,10/6/21,U,1,N,6,U1
U1N-13-05-2021,U1N,13/05/2021,U,1,N,5,U1
U1N-19-08-2021,U1N,19/08/2021,U,1,N,8,U1
U1N-24-06-2021,U1N,24/06/2021,U,1,N,6,U1
U1N-27-05-2021,U1N,27/05/2021,U,1,N,5,U1
U1N-28-07-2021,U1N,28/07/2021,U,1,N,7,U1
U1S-06-08-2021,U1S,6/8/21,U,1,S,8,U1
U1S-08-07-2021,U1S,8/7/21,U,1,S,7,U1
U1S-10-06-2021,U1S,10/6/21,U,1,S,6,U1
U1S-13-05-2021,U1S,13/05/2021,U,1,S,5,U1
U1S-19-08-2021,U1S,19/08/2021,U,1,S,8,U1
U1S-24-06-2021,U1S,24/06/2021,U,1,S,6,U1
U1S-27-05-2021,U1S,27/05/2021,U,1,S,5,U1
U1S-28-07-2021,U1S,28/07/2021,U,1,S,7,U1
U2C-06-08-2021,U2C,6/8/21,U,2,C,8,U2
U2C-08-07-2021,U2C,8/7/21,U,2,C,7,U2
U2C-10-06-2021,U2C,10/6/21,U,2,C,6,U2
U2C-13-05-2021,U2C,13/05/2021,U,2,C,5,U2
U2C-15-04-2021,U2C,15/04/2021,U,2,C,4,U2
U2C-24-06-2021,U2C,24/06/2021,U,2,C,6,U2
U2C-27-05-2021,U2C,27/05/2021,U,2,C,5,U2
U2C-28-07-2021,U2C,28/07/2021,U,2,C,7,U2
U2N-06-08-2021,U2N,6/8/21,U,2,N,8,U2
U2N-08-07-2021,U2N,8/7/21,U,2,N,7,U2
U2N-10-06-2021,U2N,10/6/21,U,2,N,6,U2
U2N-13-05-2021,U2N,13/05/2021,U,2,N,5,U2
U2N-15-04-2021,U2N,15/04/2021,U,2,N,4,U2
U2N-24-06-2021,U2N,24/06/2021,U,2,N,6,U2
U2N-27-05-2021,U2N,27/05/2021,U,2,N,5,U2
U2N-28-07-2021,U2N,28/07/2021,U,2,N,7,U2
U2S-06-08-2021,U2S,6/8/21,U,2,S,8,U2
U2S-08-07-2021,U2S,8/7/21,U,2,S,7,U2
U2S-10-06-2021,U2S,10/6/21,U,2,S,6,U2
U2S-13-05-2021,U2S,13/05/2021,U,2,S,5,U2
U2S-15-04-2021,U2S,15/04/2021,U,2,S,4,U2
U2S-24-06-2021,U2S,24/06/2021,U,2,S,6,U2
U2S-27-05-2021,U2S,27/05/2021,U,2,S,5,U2
U2S-28-07-2021,U2S,28/07/2021,U,2,S,7,U2
ps-1-water-16-11-2021,ps,16-water-1,p,s,NA,water,ps
ps-2-water-16-11-2021,ps,16-water-2,p,s,NA,water,ps
